,title,authors,average_rating,language_code
1460,The Handmaid's Tale,Margaret Atwood/Valerie Martin,4.11,eng
1461,The Handmaid's Tale,Margaret Atwood,4.11,eng
1462,The Catcher in the Rye,J.D. Salinger,3.8,eng
1463,The Catcher in the Rye - Barron's Book Notes,Barron's,3.72,eng
1464,Franny and Zooey,J.D. Salinger,3.98,eng
1465,Raise High the Roof Beam  Carpenters & Seymour: An Introduction,J.D. Salinger,4.11,eng
1466,The Doors of Perception & Heaven and Hell,Aldous Huxley,3.92,eng
1467,Brave New World,Aldous Huxley,3.99,eng
1468,Island,Aldous Huxley,3.83,eng
1469,The Perennial Philosophy,Aldous Huxley,4.19,eng
1470,Huxley and God: Essays on Religious Experience,Aldous Huxley/Huston Smith/Jacqueline Hazard Bridgeman,4.3,eng
1471,Moksha: Writings on Psychedelics & the Visionary Experience,Aldous Huxley/Michael Horowitz/Cynthia Palmer,4.19,eng
1472,Point Counter Point,Aldous Huxley,3.86,eng
1473,After Many a Summer Dies the Swan,Aldous Huxley,3.75,eng
1474,The Flame Trees of Thika: Memories of an African Childhood,Elspeth Huxley,4.12,eng
1475,The Devil Wears Prada (The Devil Wears Prada  #1),Lauren Weisberger,3.74,eng
1476,Arundhati Roy's The God of Small Things: A Reader's Guide,Julie Mullaney,4.01,eng
1477,A Separate Peace,John Knowles/David Levithan,3.57,eng
1478,Black and Blue,Anna Quindlen,3.88,eng
1479,A Virtuous Woman,Kaye Gibbons,3.69,eng
1480,Here on Earth,Alice Hoffman,3.69,eng
1481,The Heart of a Woman,Maya Angelou,4.2,eng
1482,The Deep End of the Ocean (Cappadora Family  #1),Jacquelyn Mitchard,3.87,eng
1483,Cane River,Lalita Tademy,4.06,eng
1484,Where the Heart Is,Billie Letts,4.02,eng
1485,Oprah Winfrey,Katherine E. Krohn,3.79,eng
1486,Drowning Ruth,Christina Schwarz,3.74,eng
1487,Fall on Your Knees,Ann-Marie MacDonald,3.96,eng
1488,What Looks Like Crazy on an Ordinary Day (Idlewild  #1),Pearl Cleage,3.73,eng
1489,While I Was Gone,Sue Miller,3.69,eng
1490,Mother of Pearl,Melinda Haynes,3.69,eng
1491,Breath  Eyes  Memory,Edwidge Danticat,3.88,eng
1492,The Book of Ruth,Jane Hamilton,3.85,eng
1493,Open House,Elizabeth Berg,3.7,eng
1494,The Pilot's Wife,Anita Shreve,3.52,eng
1495,Tara Road,Maeve Binchy,3.9,eng
1496,A Lesson Before Dying,Ernest J. Gaines,3.95,eng
1497,Paradise,Toni Morrison,3.8,eng
1498,The Treasure Hunt: A Little Bill Book,Bill Cosby/Varnette P. Honeywood,3.34,eng
1499,She's Come Undone,Wally Lamb,3.88,eng
1500,We Were the Mulvaneys,Joyce Carol Oates,3.73,eng
1501,A Map of the World,Jane Hamilton/Frank  Muller/C.J. Critt,3.81,eng
1502,Daughter of Fortune,Isabel Allende/Margaret Sayers Peden,3.91,eng
1503,The Meanest Thing To Say,Bill Cosby/Varnette P. Honeywood/Varnette Hon Eywood,3.54,eng
1504,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,eng
1505,A Fine Balance,Rohinton Mistry,4.36,eng
1506,The Best Way to Play: A Little Bill Book,Bill Cosby/Varnette P. Honeywood/Varnette Honeywood,3.49,eng
1507,White Oleander,Janet Fitch,3.96,eng
1508,Cry  the Beloved Country,Alan Paton,3.9,eng
1509,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07,eng
1510,Song of Solomon,Toni Morrison,4.06,eng
1511,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07,eng
1512,The Bluest Eye,Toni Morrison,4.03,eng
1513,The Poisonwood Bible,Barbara Kingsolver,4.06,eng
1514,Vergeef me,Wally Lamb/Inge de Heer,4.18,nl
1515,The Crusader: Ronald Reagan and the Fall of Communism,Paul Kengor,4.23,eng
1516,Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,4.13,eng
1517,Ethan Frome and Summer,Edith Wharton/Elizabeth Strout,3.86,eng
1518,Collected Stories  1891-1910,Edith Wharton/Maureen Howard,4.26,eng
1519,A Backward Glance,Edith Wharton/Louis Auchincloss,3.76,eng
1520,The Best Short Stories of Edith Wharton,Edith Wharton,3.77,eng
1521,Complete Works of Oscar Wilde,Oscar Wilde/Merlin Holland,4.45,eng
1522,Oscar Wilde,Richard Ellmann,4.24,eng
1523,An Ideal Husband,Oscar Wilde,4.04,eng
1524,The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,4.08,eng
1525,De Profundis and Other Writings,Oscar Wilde/Hesketh Pearson,4.21,eng
1526,Sense and Sensuality: Jesus Talks to Oscar Wilde on the Pursuit of Pleasure (Great Conversations),Ravi Zacharias,3.95,eng
1527,Travels with Charley: In Search of America,John Steinbeck,4.08,eng
1528,Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men,John Steinbeck/Elaine Steinbeck/Robert DeMott,4.35,eng
1529,The Pearl,John Steinbeck,3.46,eng
1530,The Life and Times of Scrooge McDuck,Don Rosa,4.67,eng
1531,The Life and Times of Scrooge McDuck Companion,Don Rosa,4.48,eng
1532,The Last Christmas of Ebenezer Scrooge,Marvin Kaye,4.13,eng
1533,Uncle Scrooge #359,Don Rosa/Carl Barks/Lars Jensen/Pat McGreal/Carol McGreal/Frank Jonker/Romano Scarpa/Mau Heymans/José Massaroli,3.88,eng
1534,A Christmas Story,Jean Shepherd,4.08,eng
1535,My First Story of Christmas,Tim Dowley/Roger Langton,4.07,eng
1536,The Christmas Story,Jane Werner Watson/Eloise Wilkin,4.43,eng
1537,A Christmas Carol,Charles Dickens/P.J. Lynch,4.05,eng
1538,A Christmas Carol,Charles Dickens,4.05,eng
1539,The Annotated Christmas Carol,Charles Dickens/Michael Patrick Hearn/John Leech,4.05,eng
1540,Charles Dickens' A Christmas Carol,Jane Parker Resnick/Christian Birmingham,4.1,eng
1541,Little Dorrit,Charles Dickens/Hablot Knight Browne/David Gates,3.99,eng
1542,A Christmas Carol and Other Christmas Writings,Charles Dickens/Michael Slater,4.14,eng
1543,The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,4.01,eng
1544,Hard Times,Charles Dickens,3.52,eng
1545,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.82,eng
1546,The Last Juror,John Grisham,3.87,eng
1547,The Testament,John Grisham/Jorma-Veikko Sappinen,3.86,eng
1548,The Rainmaker,John Grisham,3.94,eng
1549,The Partner,John Grisham,3.92,eng
1550,The Street Lawyer,John Grisham,3.83,eng
1551,The Summons,John Grisham,3.69,eng
1552,The Brethren,John Grisham,3.73,eng
1553,The King of Torts,John Grisham,3.68,eng
1554,Skipping Christmas,John Grisham,3.49,eng
1555,The Firm,Robin Waterfield/John Grisham,4.01,eng
1556,The Client,John Grisham,4.0,eng
1557,A Painted House,John Grisham,3.7,eng
1558,The Summons / The Brethren,John Grisham/Michael Beck/Frank  Muller,3.99,eng
1559,Dragonfly in Amber (Outlander  #2),Diana Gabaldon,4.32,eng
1560,Forever Amber,Kathleen Winsor,3.99,eng
1561,Amber Brown Is Green With Envy,Paula Danziger/Tony Ross,3.95,eng
1562,Amber Brown Is Not a Crayon,Paula Danziger/Tony Ross,3.84,eng
1563,Amber and Ashes (Dragonlance: The Dark Disciple  #1),Margaret Weis,3.87,eng
1564,The Waste Lands (The Dark Tower  #3),Stephen King/Ned Dameron,4.24,eng
1565,The Dragon's Eye (Dragonology Chronicles  #1),Dugald A. Steer/Douglas Carrel,3.82,eng
1566,The Dragon's Eye (Erec Rex  #1),Kaza Kingsley/Melvyn Grant,4.0,eng
1567,Dragon's Eye (Stonefort  #1),James A. Hetley,3.43,eng
1568,Dragon's Eye,Christopher Stasheff/William R. Forstchen/Nick DiChario/S.N. Lewitt/Bill Fawcett/Mike Resnick/Mickey Zucker Reichert/S.M. Stirling/Diane Duane/Jody Lynn Nye/Roland J. Green/Teresa Patterson/Judith R. Conly,3.51,eng
1569,"Stand Back  Said the Elephant  ""I'm Going to Sneeze!""",Patricia Thomas/Wallace Tripp,4.39,eng
1570,Here I Stand: A Life of Martin Luther,Roland H. Bainton,4.08,eng
1571,The Stand: Das letzte Gefecht,Stephen King/Joachim Körber,4.34,ger
1572,'Salem's Lot,Stephen King/Jerry N. Uelsmann,4.25,eng
1573,'Salem's Lot,Stephen King/Ron McLarty,4.02,eng
1574,'Salem's Lot,Stephen King,4.02,eng
1575,Carrie / 'Salem's Lot / The Shining,Stephen King,4.54,eng
1576,'Salem's Lot,Stephen King,4.02,eng
1577,'Salem's Lot,Stephen King,4.02,eng
1578,Orientalism,Edward W. Said,4.08,eng
1579,Interpreter of Maladies,Jhumpa Lahiri,4.15,eng
1580,The Faiths of the Founding Fathers,David L. Holmes,3.89,eng
1581,Girls in Pants: The Third Summer of the Sisterhood (Sisterhood  #3),Ann Brashares,3.83,eng
1582,Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood  #4),Ann Brashares,3.81,eng
1583,Junie B.  First Grader: Cheater Pants (Junie B. Jones  #21),Barbara Park/Denise Brunkus,4.04,eng
1584,Nineteen Eighty-Four,George Orwell/Thomas Pynchon,4.18,eng
1585,Animal Farm / 1984,George Orwell/Christopher Hitchens,4.28,eng
1586,1984,George Orwell/Erich Fromm,4.18,eng
1587,Nineteen Eighty-Four,George Orwell,4.18,eng
1588,Brave New World / Brave New World Revisited,Aldous Huxley/Christopher Hitchens,4.16,eng
1589,Brave New World and Brave New World Revisited,Aldous Huxley/Christopher Hitchens,4.16,eng
1590,Brave New World Revisited,Aldous Huxley,3.95,eng
1591,Brave New World,Aldous Huxley,3.99,eng
1592,Andrew Carnegie,David Nasaw,3.99,eng
1593,The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,4.46,eng
1594,Children of the Alley,Naguib Mahfouz/Peter Theroux,4.1,eng
1595,Akhenaten: Dweller in Truth,Naguib Mahfouz/Tagreid Abu-Hassabo,3.81,eng
1596,Adrift on the Nile,Naguib Mahfouz/Frances Liardet,3.82,eng
1597,Midaq Alley,Naguib Mahfouz/Trevor Le Gassick,3.85,eng
1598,The Harafish,Naguib Mahfouz/Catherine Cobham/Naguib Mahfouz,4.36,eng
1599,The Day the Leader Was Killed,Naguib Mahfouz/Surgana/Naguib Mahfouz,3.63,eng
1600,Anne Frank Beyond the Diary: A Photographic Remembrance,Ruud van der Rol/Rian Verhoeven/Anna Quindlen/Anne Frank/Tony   Langham/Plym Peters,4.27,eng
1601,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Miep Gies/Alison Leslie Gold,4.29,eng
1602,The Diary of Anne Frank,Frances Goodrich/Albert Hackett/Wendy Kesselman,4.06,eng
1603,Anne Frank: Life in Hiding,Johanna Hurwitz/Vera Rosenberry,3.99,eng
1604,Cliffs Notes on Hansberry's A Raisin in the Sun,Rosetta James,3.9,eng
1605,Dear John,Nicholas Sparks,4.03,eng
1606,All the King's Men,Robert Penn Warren,4.09,eng
1607,Cliffs notes on Warren's All the King's Men,L. David Allen,3.45,eng
1608,All the King's Men: Three Stage Versions,Robert Penn Warren/James A. Perkins/James A. Grimshaw,4.0,eng
1609,Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body,Ian King/Lou Schuler/Frederick Deluvier,3.98,eng
1610,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard P. Feynman,4.28,eng
1611,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.6,eng
1612,What Do You Care What Other People Think?,Richard P. Feynman,4.27,eng
1613,Perfectly Reasonable Deviations from the Beaten Track: Letters of Richard P. Feynman,Richard P. Feynman/Michelle Feynman,4.25,eng
1614,QED: The Strange Theory of Light and Matter,Richard P. Feynman,4.24,eng
1615,Kiffe Kiffe Demain (French Edition),Faïza Guène,3.4,fre
1616,iWoz,Steve Wozniak/Gina Smith,3.87,eng
1617,Cradle to Cradle: Remaking the Way We Make Things,William McDonough/Michael Braungart,4.11,eng
1618,Cradle and All,James Patterson,3.86,eng
1619,The Creation of the American Republic  1776-1787,Gordon S. Wood,4.12,eng
1620,Power  Faith  and Fantasy: America in the Middle East 1776 to the Present,Michael B. Oren,3.98,eng
1621,Problems of the Self: Philosophical Papers 1956 1972,Bernard Williams,3.97,eng
1622,Moral Luck: Philosophical Papers 1973-1980,Bernard Williams,4.09,eng
1623,Ethics and the Limits of Philosophy,Bernard Williams,4.06,eng
1624,On Rhetoric and Language: Four Key Dialogues,Jean Nienkamp,4.2,eng
1625,The Norton Anthology of Modern and Contemporary Poetry,Jahan Ramazani/Richard Ellmann/Robert O'Clair,4.23,eng
1626,The Elephant War,Gillian Avery,3.67,eng
1627,The Wind in the Willows,Kenneth Grahame/Gillian Avery,3.99,eng
1628,The Everyman Anthology of Poetry for Children,Gillian Avery/Everyman's Library/Thomas Benwick,4.14,eng
1629,Holiday Romance and Other Writings for Children,Charles Dickens,3.32,eng
1630,Ideas Have Consequences,Richard M. Weaver,4.16,eng
1631,The Ethics of Rhetoric,Richard M. Weaver,4.14,eng
1632,Manliness,Harvey Mansfield,3.39,eng
1633,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng
1634,The Brothers Karamazov,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,4.32,eng
1635,Selected Stories of Anton Chekhov,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,4.35,eng
1636,Mother Maria Skobtsova: Essential Writings,Maria Skobtsova/Richard Pevear,4.31,eng
1637,What is Art?,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,3.72,eng
1638,The Complete Short Novels,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,4.47,eng
1639,The Double and The Gambler,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,4.16,eng
1640,The Adolescent,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,3.94,eng
1641,If I Die in a Combat Zone,Tim O'Brien,3.95,eng
1642,If I Die In A Combat Zone,Tim O'Brien,3.95,eng
1643,Rainbow Six (John Clark  #2; Jack Ryan Universe  #10),Tom Clancy/David Dukes,4.09,eng
1644,Child of War  Woman of Peace,Le Ly Hayslip/James Hayslip/Jenny Wurts,3.8,eng
1645,When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace,Le Ly Hayslip/Jay Wurts,4.12,eng
1646,Philip Vera Cruz: A Personal History of Filipino Immigrants and the Farmworkers Movement,Craig Scharlin/Lilia V. Villanueva,4.22,eng
1647,Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South,Anne Moody,4.13,eng
1648,I'm Too Young To Be Seventy,Judith Viorst/Laura Gibson,3.93,eng
1649,Seventy-Seven Clocks (Bryant & May #3),Christopher Fowler,3.89,eng
1650,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.08,eng
1651,The Language Instinct: How the Mind Creates Language,Steven Pinker,4.03,eng
1652,Learnability and Cognition: The Acquisition of Argument Structure,Steven Pinker/Jacques A. Mehler,3.75,eng
1653,Fight Club,Chuck Palahniuk,4.19,eng
1654,BSD Hacks,Lavigne,3.8,eng
1655,The Design and Implementation of the 4.3BSD UNIX Operating System,Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels,4.26,eng
1656,Choke,Stuart Woods,3.84,eng
1657,Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,3.22,eng
1658,The Aleph and Other Stories,Jorge Luis Borges/Andrew Hurley,4.38,eng
1659,El Aleph,Jorge Luis Borges,4.38,spa
1660,Vanity Fair,William Makepeace Thackeray/John Carey,3.79,eng
1661,Vanity Fair,William Makepeace Thackeray/Nicholas Dames,3.79,eng
1662,Vanity Fair,William Makepeace Thackeray,3.79,eng
1663,V for Vendetta,Alan Moore/David   Lloyd,4.25,eng
1664,V.,Thomas Pynchon/Carlos Martín Ramírez,3.96,fre
1665,Girl in the Shadows (Shadows  #2),V.C. Andrews,3.81,eng
1666,V for Vendetta,Steve Moore/Lilly Wachowski/Lana Wachowski/Alan Moore,4.15,eng
1667,Heaven (Casteel  #1),V.C. Andrews,4.03,eng
1668,Slow Learner: Early Stories,Thomas Pynchon,3.5,eng
1669,A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger,4.01,eng
1670,Casino Royale,Ian Fleming,3.73,eng
1671,Casino Royale,Anthony Hern/Ian Fleming/Henry Gammidge/John McLusky,3.7,eng
1672,Bel Canto,Ann Patchett,3.93,eng
1673,Guerilla Film Makers Movie Blueprint,Chris          Jones/Jonathan Newman/Cara Williams,4.2,eng
1674,Mini-Manual of the Urban Guerrilla,Carlos Marighella,3.31,eng
1675,The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),Christopher   Duncan,3.13,eng
1676,A Bend in the River,V.S. Naipaul,3.77,eng
1677,The Middle Passage,V.S. Naipaul,3.61,eng
1678,Magic Seeds,V.S. Naipaul,3.13,eng
1679,Half a Life,V.S. Naipaul,3.25,eng
1680,North of South: An African Journey,Shiva Naipaul,3.89,eng
1681,V.S. Naipaul,Bruce Alvin King,2.0,eng
1682,Regeneration Through Violence: The Mythology of the American Frontier  1600–1860,Richard Slotkin,4.3,eng
1683,Regeneration (Species Imperative  #3),Julie E. Czerneda,4.13,eng
1684,The Regeneration Trilogy (Regeneration  #1-3),Pat Barker,4.38,eng
1685,The Sparrow (The Sparrow  #1),Mary Doria Russell,4.16,eng
1686,The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5),Rob Kidd/Walt Disney Company,4.05,eng
1687,The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),Rob Kidd/Jean-Paul Orpinas/Walt Disney Company,3.98,eng
1688,The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3),Rob Kidd/Walt Disney Company,3.89,eng
1689,The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2),Rob Kidd/Jean-Paul Orpinas,3.86,eng
1690,The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1),Rob Kidd/Jean-Paul Orpinas,3.83,eng
1691,The Woman in White,Wilkie Collins/Matthew Sweet,4.0,eng
1692,The Woman in White,Wilkie Collins,4.0,eng
1693,The Woman in White,Wilkie Collins/Maria K. Bachman/Don Richard Cox,4.0,eng
1694,The Woman in White,Wilkie Collins/Camille Cauti,4.0,eng
1695,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng
1696,The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States,National Commission on Terrorist Attacks Upon The United States,3.6,eng
1697,The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,eng
1698,The Annotated Hobbit,J.R.R. Tolkien/Douglas A. Anderson,4.27,eng
1699,Poems From The Hobbit,J.R.R. Tolkien,4.3,eng
1700,The Hobbit: Or There and Back Again,J.R.R. Tolkien,4.27,eng
1701,The Hobbit,J.R.R. Tolkien,4.27,eng
1702,Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,Harry Graham/Frank J. Moore/D. Streamer,3.86,eng
1703,The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,4.46,eng
1704,Twenty Love Poems and a Song of Despair,Pablo Neruda/W.S. Merwin/Cristina García,4.3,eng
1705,Veinte poemas de amor y una canción desesperada; Cien sonetos de amor,Pablo Neruda,4.3,eng
1706,Love,Pablo Neruda,4.46,eng
1707,Anil's Ghost,Michael Ondaatje,3.57,eng
1708,Waiting for My Cats to Die: A Memoir,Stacy Horn,3.67,eng
1709,Narcissus and Goldmund,Hermann Hesse/Leila Vennewitz,4.2,eng
1710,Edward Lear's Book of Nonsense: With Lear's Original Illustrations,Edward Lear/Simcha Shtull,3.65,eng
1711,A Sparrow Falls (Courtney #3),Wilbur Smith,4.19,eng
1712,Providence of a Sparrow: Lessons from a Life Gone to the Birds,Chris Chester,4.33,eng
1713,Sparrow Hawk Red,Ben Mikaelsen,3.79,eng
1714,The Fall of a Sparrow,Robert Hellenga,3.69,eng
1715,The Bluebird and the Sparrow (Women of the West  #10),Janette Oke,3.83,eng
1716,Journey of the Sparrows,Fran Leeper Buss/Daisy Cubias,3.69,eng
1717,Aleutian Sparrow,Karen Hesse/Evon Zerbetz/Kim McGillivray,3.78,eng
1718,An Episode of Sparrows,Rumer Godden,4.21,eng
1719,Li Po and Tu Fu: Poems,Li Bai/Du Fu/Arthur Cooper/Shui Chien-Tung,4.14,eng
1720,混血王子的背叛 (哈利波特  #6),J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,4.57,zho
1721,火盃的考驗 (哈利波特  #4),J.K. Rowling/J.K.羅琳/彭倩文,4.56,zho
1722,Five T'ang Poets,Wang Wei/Li Bai/Li Ho/Li Shang-yin/David        Young,4.3,eng
1723,The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill,Charles Rembar,3.88,eng
1724,Juniper,Monica Furlong,4.16,eng
1725,The Long Road Back: A Survivor's Guide to Anorexia,Judy Tam Sargent/Sonia Nordenson,3.2,eng
1726,The Road Back,Erich Maria Remarque,4.32,eng
1727,Robinson Crusoe,Daniel Defoe/L.J. Swingle,3.67,eng
1728,Achilles in Vietnam: Combat Trauma and the Undoing of Character,Jonathan Shay,4.25,eng
1729,The Work of Mourning,Jacques Derrida/Pascale-Anne Brault/Michael Naas,4.2,eng
1730,Transform Your Life: A step-by-step programme for change,Diana Cooper,4.0,eng
1731,A Short History of Byzantium,John Julius Norwich,4.09,eng
1732,The Middle Sea: A History of the Mediterranean,John Julius Norwich,3.85,eng
1733,A History of Venice,John Julius Norwich,4.2,eng
1734,The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194,John Julius Norwich,4.34,eng
1735,Siddhartha,Hermann Hesse/Susan Bernofsky/Tom Robbins,4.02,eng
1736,Siddhartha,Hermann Hesse/Joachim Neugroschel/Ralph Freedman,4.02,eng
1737,Siddhartha,Hermann Hesse,4.02,fre
1738,The Moonstone,Wilkie Collins/Carolyn G. Heilbrun,3.91,eng
1739,The Moonstone,Wilkie Collins,3.91,eng
1740,The Moonstone,Wilkie Collins/P.D. James,3.91,eng
1741,Ride of the Second Horseman: The Birth and Death of War,Robert L. O'Connell,4.29,eng
1742,Beloved,Toni Morrison,3.83,eng
1743,Cry  the Beloved Country,Alan Paton,3.9,eng
1744,Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,4.28,eng
1745,Come Away My Beloved,Frances J. Roberts,4.58,eng
1746,Israel  My Beloved,Kay Arthur,4.16,eng
1747,Beloved Bride: The Letters of Stonewall Jackson to His Wife,Bill Potter/Stephen Lang,4.1,eng
1748,The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook),Jean Houston,3.95,eng
1749,Reservation Blues,Sherman Alexie,3.98,eng
1750,The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain,Cormac McCarthy,4.44,eng
1751,Music & Silence,Rose Tremain,3.95,eng
1752,The Periodic Table,Primo Levi,4.21,eng
1753,Survival in Auschwitz,Primo Levi/Stuart J. Woolf/Philip Roth,4.32,eng
1754,The Reawakening,Primo Levi/Stuart J. Woolf,4.29,eng
1755,The Drowned and the Saved,Primo Levi,4.4,eng
1756,The Monkey's Wrench,Primo Levi/William Weaver/Ruth Feldman/Ruth Tenzer Feldman,3.92,eng
1757,Primo Levi: A Life,Ian Thomson,4.11,eng
1758,Wuthering Heights,Emily Brontë,3.85,eng
1759,Disgrace,J.M. Coetzee,3.84,eng
1760,Waiting for the Barbarians,J.M. Coetzee,3.94,eng
1761,The Lives of Animals,J.M. Coetzee/Amy Gutmann/Peter Singer/Wendy Doniger/Barbara Smuts/Marjorie Garber,3.69,eng
1762,Boyhood: Scenes from Provincial Life,J.M. Coetzee,3.79,eng
1763,Youth,J.M. Coetzee,3.79,eng
1764,Age of Iron,J.M. Coetzee,3.84,eng
1765,The Wife (Kristin Lavransdatter  #2),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,4.15,eng
1766,Kristin Lavransdatter (Kristin Lavransdatter  #1-3),Sigrid Undset/Tiina Nunnally/Brad Leithauser,4.28,eng
1767,The Axe (The Master of Hestviken  #1),Sigrid Undset/Arthur G. Chater,4.21,eng
1768,The Cross (Kristin Lavransdatter  #3),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,4.29,eng
1769,The Wreath (Kristin Lavransdatter  #1),Sigrid Undset/Tiina Nunnally,4.02,eng
1770,The Mistress of Husaby (Kristin Lavransdatter  #2),Sigrid Undset,4.15,eng
1771,Jenny,Sigrid Undset/Tiina Nunnally,3.79,eng
1772,The Unknown Sigrid Undset: Jenny and Other Works,Sigrid Undset/Tim Page/Tiina Nunnally/Naomi Walford,4.19,eng
1773,Gunnar's Daughter,Sigrid Undset/Sherrill Harbison/Arthur G. Chater,4.18,eng
1774,The Snake Pit (The Master of Hestviken  #2),Sigrid Undset/Arthur G. Chater,4.23,eng
1775,The Son Avenger (The Master of Hestviken  #4),Sigrid Undset,4.4,eng
1776,An Imaginary Life,David Malouf,3.88,eng
1777,The Great World,David Malouf,3.88,eng
1778,A Very Long Engagement,Sébastien Japrisot,3.91,eng
1779,Birdsong,Sebastian Faulks,4.09,eng
1780,The Collected Poems of Wilfred Owen,Wilfred Owen/Cecil Day-Lewis,4.34,eng
1781,Murder in Foggy Bottom (Capital Crimes  #17),Margaret Truman,3.71,eng
1782,The Road,Cormac McCarthy,3.97,eng
1783,The Road to Serfdom,Friedrich A. Hayek,4.18,eng
1784,Road of the Patriarch (Forgotten Realms: The Sellswords  #3),R.A. Salvatore,4.19,eng
1785,Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways,Jamie Jensen,3.96,eng
1786,Howl's Moving Castle (Howl's Moving Castle  #1),Diana Wynne Jones,4.29,eng
1787,Howl and Other Poems,Allen Ginsberg/William Carlos Williams,4.13,eng
1788,When Rabbit Howls,Truddi Chase/Robert A. Phillips,4.04,eng
1789,The Art of Howl's Moving Castle,Hayao Miyazaki/Yuji Oniki/Joe Hisaishi,4.51,eng
1790,Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence,Allen Ginsberg/Barry Miles,4.22,eng
1791,The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings,America's Test Kitchen,4.35,eng
1792,Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl/Quentin Blake,4.13,eng
1793,Charlie and the Chocolate Factory: A Play,Richard R. George/Roald Dahl,4.33,eng
1794,Charlie and the Chocolate Factory (Abridged),Roald Dahl,3.86,eng
1795,Collected Stories,Roald Dahl/Jeremy Treglown,4.39,eng
1796,Roald Dahl Treasury,Roald Dahl,4.43,eng
1797,Dirty Beasts,Roald Dahl/Quentin Blake,4.01,eng
1798,Never Let Me Go,Kazuo Ishiguro,3.82,eng
1799,Never Let Me Go,Kazuo Ishiguro,3.82,eng
1800,Never Let Me Go,Kazuo Ishiguro/Rosalyn Landor,3.82,eng
1801,Homeric Moments: Clues to Delight in Reading the Odyssey and the Iliad,Eva Brann,4.3,eng
1802,Paradoxes of Education in a Republic,Eva Brann,4.28,eng
1803,The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings,Eva Brann,4.58,eng
1804,Open Secrets / Inward Prospects: Reflections on World and Soul,Eva Brann,4.42,eng
